wellID	condition	group	media	sugar	concentration	supplement	expID	date	contamination	pH	inoculation_growth_time	plate_growth_time	species	strain	strain_origin_date	passage	lab_person	time	OD600
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	19.75	0.12999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	0.5	0
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	3	0.37
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20.5	0.11999999999999997
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	5.25	0.47
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	7.75	0.37
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	14.5	0.17
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	12.5	0.18999999999999997
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	14.75	0.17
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	19.25	0.12999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	1.75	0.15
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	24	0.35
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	19.5	0.12999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	4.5	0.42999999999999994
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	13.5	0.19999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	11.25	0.23999999999999996
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	7.25	0.3999999999999999
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	2.75	0.32999999999999996
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	12	0.19999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	10	0.29000000000000004
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	5.5	0.47
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	22.75	0.29999999999999993
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	4	0.3999999999999999
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	21.5	0.12999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	10.75	0.24999999999999997
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	5	0.45999999999999996
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	0.25	0
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	11	0.23999999999999996
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	2.5	0.28
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	16.5	0.15
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	22.5	0.26
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	13.75	0.18999999999999997
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	7.5	0.39
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	17	0.13999999999999999
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	1.25	0.06
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	6	0.45999999999999996
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	8.25	0.35
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	14	0.19999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	8.5	0.33999999999999997
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	16.75	0.13999999999999999
A02	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate2	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	11.5	0.25666666666666665
A02	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate2	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	19	0.20666666666666667
A02	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate2	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	16.25	0.21666666666666667
A02	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate2	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	0	-0.003333333333333327
A02	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate2	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	2	0.19666666666666666
A02	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate2	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20.75	0.20666666666666667
